1,437,20,0
2,420,18,0
3,461,16,0
4,416,16,0
5,430,13,0
6,433,14,0
7,431,10,0
8,395,14,1
9,427,6,0
10,433,16,0
11,433,8,1
12,420,12,0
13,413,13,1
14,429,18,0
15,436,14,0
16,408,4,0
17,420,10,1
18,406,12,1
19,429,23,0
20,385,8,0
21,421,9,0
22,441,12,0
23,438,12,0
24,404,12,0
25,406,10,1
26,428,17,0
27,419,14,0
28,423,13,0
29,430,17,0
30,441,11,0
31,416,10,0
32,411,12,0
33,401,16,0
34,431,14,1
35,428,12,0
36,443,13,0
37,435,13,0
38,454,8,0
39,449,8,0
40,438,13,1
41,446,15,0
42,426,18,0
43,418,15,0
44,418,11,1
45,454,14,0
46,418,10,1
47,453,8,1
48,426,11,1
49,408,11,0
